ANO;MES;FONTE DOS DADOS;SATELITE;TOTAL CENAS UNICAS;FATOR DISTRIBUICAO;TOTAL GERAL
2015;01;CATALOGO;AQUA;53;1;53
2015;01;CATALOGO;CBERS2;299;1;299
2015;01;CATALOGO;CBERS2B;2587;1;2587
2015;01;CATALOGO;LANDSAT-1;120;1;120
2015;01;CATALOGO;LANDSAT-2;106;1;106
2015;01;CATALOGO;LANDSAT-3;45;1;45
2015;01;CATALOGO;LANDSAT-5;6520;1;6520
2015;01;CATALOGO;LANDSAT-7;785;1;785
2015;01;CATALOGO;RAPIDEYE-2;1;1;1
2015;01;CATALOGO;RAPIDEYE-4;1;1;1
2015;01;CATALOGO;RESOURCESAT-1;660;1;660
2015;01;CATALOGO;RESOURCESAT-2;2050;1;2050
2015;01;CATALOGO;S-NPP;27;1;27
2015;01;CATALOGO;TERRA;61;1;61
2015;02;CATALOGO;AQUA;15;1;15
2015;02;CATALOGO;CBERS2;503;1;503
2015;02;CATALOGO;CBERS2B;1306;1;1306
2015;02;CATALOGO;LANDSAT-1;81;1;81
2015;02;CATALOGO;LANDSAT-2;66;1;66
2015;02;CATALOGO;LANDSAT-3;39;1;39
2015;02;CATALOGO;LANDSAT-5;6339;1;6339
2015;02;CATALOGO;LANDSAT-7;797;1;797
2015;02;CATALOGO;RAPIDEYE-1;1;1;1
2015;02;CATALOGO;RAPIDEYE-2;1;1;1
2015;02;CATALOGO;RAPIDEYE-4;3;1;3
2015;02;CATALOGO;RAPIDEYE-5;1;1;1
2015;02;CATALOGO;RESOURCESAT-1;535;1;535
2015;02;CATALOGO;RESOURCESAT-2;1748;1;1748
2015;02;CATALOGO;S-NPP;3;1;3
2015;02;CATALOGO;TERRA;38;1;38
2015;03;CATALOGO;AQUA;21;1;21
2015;03;CATALOGO;CBERS2;534;1;534
2015;03;CATALOGO;CBERS2B;1913;1;1913
2015;03;CATALOGO;LANDSAT-1;160;1;160
2015;03;CATALOGO;LANDSAT-2;164;1;164
2015;03;CATALOGO;LANDSAT-3;61;1;61
2015;03;CATALOGO;LANDSAT-5;9476;1;9476
2015;03;CATALOGO;LANDSAT-7;1719;1;1719
2015;03;CATALOGO;LANDSAT-8;117;1;117
2015;03;CATALOGO;RAPIDEYE-1;1;1;1
2015;03;CATALOGO;RAPIDEYE-2;1;1;1
2015;03;CATALOGO;RESOURCESAT-1;924;1;924
2015;03;CATALOGO;RESOURCESAT-2;2052;1;2052
2015;03;CATALOGO;S-NPP;5;1;5
2015;03;CATALOGO;TERRA;35;1;35
2015;04;CATALOGO;AQUA;59;1;59
2015;04;CATALOGO;CBERS2;504;1;504
2015;04;CATALOGO;CBERS2B;1429;1;1429
2015;04;CATALOGO;LANDSAT-1;219;1;219
2015;04;CATALOGO;LANDSAT-2;128;1;128
2015;04;CATALOGO;LANDSAT-3;74;1;74
2015;04;CATALOGO;LANDSAT-5;8938;1;8938
2015;04;CATALOGO;LANDSAT-7;1198;1;1198
2015;04;CATALOGO;LANDSAT-8;169;1;169
2015;04;CATALOGO;RAPIDEYE-1;2;1;2
2015;04;CATALOGO;RAPIDEYE-4;3;1;3
2015;04;CATALOGO;RAPIDEYE-5;1;1;1
2015;04;CATALOGO;RESOURCESAT-1;802;1;802
2015;04;CATALOGO;RESOURCESAT-2;4231;1;4231
2015;04;CATALOGO;S-NPP;30;1;30
2015;04;CATALOGO;TERRA;88;1;88
2015;05;CATALOGO;AQUA;68;1;68
2015;05;CATALOGO;CBERS2;567;1;567
2015;05;CATALOGO;CBERS2B;2222;1;2222
2015;05;CATALOGO;CBERS4;5;1;5
2015;05;CATALOGO;LANDSAT-1;160;1;160
2015;05;CATALOGO;LANDSAT-2;148;1;148
2015;05;CATALOGO;LANDSAT-3;81;1;81
2015;05;CATALOGO;LANDSAT-5;14608;1;14608
2015;05;CATALOGO;LANDSAT-7;1797;1;1797
2015;05;CATALOGO;LANDSAT-8;1011;1;1011
2015;05;CATALOGO;RAPIDEYE-1;262;1;262
2015;05;CATALOGO;RAPIDEYE-2;245;1;245
2015;05;CATALOGO;RAPIDEYE-3;177;1;177
2015;05;CATALOGO;RAPIDEYE-4;271;1;271
2015;05;CATALOGO;RAPIDEYE-5;253;1;253
2015;05;CATALOGO;RESOURCESAT-1;663;1;663
2015;05;CATALOGO;RESOURCESAT-2;1809;1;1809
2015;05;CATALOGO;S-NPP;45;1;45
2015;05;CATALOGO;TERRA;178;1;178
2015;05;CATALOGO;UK-DMC-2;20;1;20
2015;06;CATALOGO;AQUA;74;1;74
2015;06;CATALOGO;CBERS2;350;1;350
2015;06;CATALOGO;CBERS2B;1367;1;1367
2015;06;CATALOGO;CBERS4;26;1;26
2015;06;CATALOGO;LANDSAT-1;148;1;148
2015;06;CATALOGO;LANDSAT-2;117;1;117
2015;06;CATALOGO;LANDSAT-3;93;1;93
2015;06;CATALOGO;LANDSAT-5;7208;1;7208
2015;06;CATALOGO;LANDSAT-7;1159;1;1159
2015;06;CATALOGO;LANDSAT-8;2349;1;2349
2015;06;CATALOGO;RAPIDEYE-1;41;1;41
2015;06;CATALOGO;RAPIDEYE-2;31;1;31
2015;06;CATALOGO;RAPIDEYE-3;18;1;18
2015;06;CATALOGO;RAPIDEYE-4;17;1;17
2015;06;CATALOGO;RAPIDEYE-5;36;1;36
2015;06;CATALOGO;RESOURCESAT-1;602;1;602
2015;06;CATALOGO;RESOURCESAT-2;2438;1;2438
2015;06;CATALOGO;S-NPP;33;1;33
2015;06;CATALOGO;TERRA;204;1;204
2015;06;CATALOGO;UK-DMC-2;36;1;36
2015;07;CATALOGO;AQUA;99;1;99
2015;07;CATALOGO;CBERS2;349;1;349
2015;07;CATALOGO;CBERS2B;1047;1;1047
2015;07;CATALOGO;CBERS4;89;1;89
2015;07;CATALOGO;LANDSAT-1;118;1;118
2015;07;CATALOGO;LANDSAT-2;104;1;104
2015;07;CATALOGO;LANDSAT-3;31;1;31
2015;07;CATALOGO;LANDSAT-5;5869;1;5869
2015;07;CATALOGO;LANDSAT-7;749;1;749
2015;07;CATALOGO;LANDSAT-8;2933;1;2933
2015;07;CATALOGO;RESOURCESAT-1;654;1;654
2015;07;CATALOGO;RESOURCESAT-2;2237;1;2237
2015;07;CATALOGO;S-NPP;25;1;25
2015;07;CATALOGO;TERRA;244;1;244
2015;07;CATALOGO;UK-DMC-2;14;1;14
2015;08;CATALOGO;AQUA;96;1;96
2015;08;CATALOGO;CBERS2;284;1;284
2015;08;CATALOGO;CBERS2B;1255;1;1255
2015;08;CATALOGO;CBERS4;518;1;518
2015;08;CATALOGO;LANDSAT-1;143;1;143
2015;08;CATALOGO;LANDSAT-2;97;1;97
2015;08;CATALOGO;LANDSAT-3;52;1;52
2015;08;CATALOGO;LANDSAT-5;6701;1;6701
2015;08;CATALOGO;LANDSAT-7;810;1;810
2015;08;CATALOGO;LANDSAT-8;3610;1;3610
2015;08;CATALOGO;RAPIDEYE-1;56;1;56
2015;08;CATALOGO;RAPIDEYE-2;33;1;33
2015;08;CATALOGO;RAPIDEYE-3;39;1;39
2015;08;CATALOGO;RAPIDEYE-4;64;1;64
2015;08;CATALOGO;RAPIDEYE-5;30;1;30
2015;08;CATALOGO;RESOURCESAT-1;442;1;442
2015;08;CATALOGO;RESOURCESAT-2;2046;1;2046
2015;08;CATALOGO;S-NPP;42;1;42
2015;08;CATALOGO;TERRA;266;1;266
2015;08;CATALOGO;UK-DMC-2;9;1;9
2015;09;CATALOGO;AQUA;110;1;110
2015;09;CATALOGO;CBERS2;439;1;439
2015;09;CATALOGO;CBERS2B;1520;1;1520
2015;09;CATALOGO;CBERS4;710;1;710
2015;09;CATALOGO;LANDSAT-1;122;1;122
